STATES OF THE WORLD;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Users group;1;;;;;;;;;;;;;;;;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
2;0.5;3736.67;1;4089.82;1.5;4820.31;0;0;0;0;0;0;0;0;0;0;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
3;0;0;0;0;0;0;0;0;5;6847.26;5;6847.26;10;8998.34;10;8998.34;
Users group;CR1 - Volume;CR1 - Cost;CR2 - Volume;CR2 - Cost;CR3 - Volume;CR3 - Cost;CR4 - Volume;CR4 - Cost;CR5 - Volume;CR5 - Cost;CR6 - Volume;CR6 - Cost;CR7 - Volume;CR7 - Cost;CR8 - Volume;CR8 - Cost;
4;0.5;3736.67;1;4089.82;1.5;4820.31;5;6847.26;5;6847.26;5;6847.26;10;8998.34;10;8998.34;
Tariff policy;1;;;;;;;;;;;;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
1;0;N;N;0;0;0;0;0;0;0;0;;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
2;100;N;N;0;0;0;0;0;0;0;0;;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
3;100;Y;N;0;0;0;0;0;0;0;0;;;;;;
Tariff policy;Sewage percentage (%);Charge unbilled sewage?;There is an extra tariff?;What volume is considered for the extra tariff?;;;;;;;;;;;;;
4;100;N;Y;0.5;1;1.5;3;3.5;4;6;7;;;;;;
;;;;;;;;;;;;;;;;;
SIZING DATA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Teta;Runoff coeff;Initial discard;Desired efficiency;Rainfall data start date;Number of consumption ranges;;;;;;;;;;;;
0;0.8;2;4;01/10/1996;8;;;;;;;;;;;;
Area by consumption range;;;;;;;;;;;;;;;;;
CR 1 (max. volume);Area (m²);CR 2 (max. volume);Area (m²);CR 3 (max. volume);Area (m²);CR 4 (max. volume);Area (m²);CR 5 (max. volume);Area (m²);CR 6 (max. volume);Area (m²);CR 7 (max. volume);Area (m²);CR 8 (max. volume);Area (m²);;
10;60;15;60;20;100;25;150;30;200;40;300;50;350;150;350;;
Number of connections by consumption range;;;;;;;;;;;;;;;;;
CR 1 (max. volume);Connections;CR 2 (max. volume);Connections;CR 3 (max. volume);Connections;CR 4 (max. volume);Connections;CR 5 (max. volume);Connections;CR 6 (max. volume);Connections;CR 7 (max. volume);Connections;CR 8 (max. volume);Connections;;
10;25911;15;7317;20;4188;25;2305;30;1111;40;745;50;171;150;149;;
;;;;;;;;;;;;;;;;;
ECONOMIC EVALUATION;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Costs;;;;;;;;;;;;;;;;;
Monthly fixed cost;Monthly variable cost;Quarterly fixed cost;Semi-annual fixed cost;Annual fixed cost;Annual variable cost;;;;;;;;;;;;
0;0.1300;0;90;0;0.015;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Economic variables;;;;;;;;;;;;;;;;;
Lifespan (years);Discount rate (% per month);Revenues per m³;Annual rate of water increase (% per year);Annual rate of revenues (% per year);Annual rate of discount rate (% per year);Annual rate of users cost (% per year);Annual rate of connections (% per year);;;;;;;;;;
30;0.967638;4.35;1;1;1;1;1;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tariff structure;;;;;;;;;;;;;;;;;
Number of consumption ranges;Is there basic fare?;Basic fare value ($);Basic sewage fare value ($);Min fare value of the first consumption range ($);;;;;;;;;;;;;
8;Y;15.67;;;;;;;;;;;;;;;
Volume 1 (m³);Price 1 ($/m³);Volume 2 (m³);Price 2 ($/m³);Volume 3 (m³);Price 3 ($/m³);Volume 4 (m³);Price 4 ($/m³);Volume 5 (m³);Price 5 ($/m³);Volume 6 (m³);Price 6 ($/m³);Volume 7 (m³);Price 7 ($/m³);Volume 8 (m³);Price 8 ($/m³);Volume 9 (m³);Price 9 ($/m³)
10;5.18;15;5.85;20;6.69;25;7.59;30;8.57;40;9.78;50;11.07;150;12.62;;
;;;;;;;;;;;;;;;;;
TANK VOLUMES AND COSTS;;;;;;;;;;;;;;;;;
Number of volumes;18;;;;;;;;;;;;;;;;
0.31;0.5;0.6;1;1.5;1.75;2;2.5;3;5;6;10;15;20;;;;
3641.87;3736.67;4114.89;4089.82;4820.31;4891.27;5073.14;6461.77;6495.16;6847.26;8007.15;8998.34;12697.21;18510.49;;;;
;;;;;;;;;;;;;;;;;
AVERAGE CONSUMPTION;;;;;;;;;;;;;;;;;
Monthly consumption (m³);;;;;;;;;;;;;;;;;
Consumption Range;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;;;;;
1;4.651;4.651;4.651;4.651;4.651;4.651;4.651;4.651;4.651;4.651;4.651;4.651;;;;;
2;12.771;12.771;12.771;12.771;12.771;12.771;12.771;12.771;12.771;12.771;12.771;12.771;;;;;
3;17.785;17.785;17.785;17.785;17.785;17.785;17.785;17.785;17.785;17.785;17.785;17.785;;;;;
4;22.737;22.737;22.737;22.737;22.737;22.737;22.737;22.737;22.737;22.737;22.737;22.737;;;;;
5;27.801;27.801;27.801;27.801;27.801;27.801;27.801;27.801;27.801;27.801;27.801;27.801;;;;;
6;34.373;34.373;34.373;34.373;34.373;34.373;34.373;34.373;34.373;34.373;34.373;34.373;;;;;
7;45.058;45.058;45.058;45.058;45.058;45.058;45.058;45.058;45.058;45.058;45.058;45.058;;;;;
8;82.899;82.899;82.899;82.899;82.899;82.899;82.899;82.899;82.899;82.899;82.899;82.899;;;;;
;;;;;;;;;;;;;;;;;
Daily consumption (l);;;;;;;;;;;;;;;;;
Consumption Range;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;;;;;
1;81.049;81.049;81.049;81.049;81.049;81.049;81.049;81.049;81.049;81.049;81.049;81.049;;;;;
2;222.536;222.536;222.536;222.536;222.536;222.536;222.536;222.536;222.536;222.536;222.536;222.536;;;;;
3;309.895;309.895;309.895;309.895;309.895;309.895;309.895;309.895;309.895;309.895;309.895;309.895;;;;;
4;396.179;396.179;396.179;396.179;396.179;396.179;396.179;396.179;396.179;396.179;396.179;396.179;;;;;
5;484.424;484.424;484.424;484.424;484.424;484.424;484.424;484.424;484.424;484.424;484.424;484.424;;;;;
6;598.94;598.94;598.94;598.94;598.94;598.94;598.94;598.94;598.94;598.94;598.94;598.94;;;;;
7;785.129;785.129;785.129;785.129;785.129;785.129;785.129;785.129;785.129;785.129;785.129;785.129;;;;;
8;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;1444.49;;;;;
